"Station Name","TORONTO ISLAND A"
"Province","ONTARIO"
"Latitude","43.63"
"Longitude","-79.40"
"Elevation","76.50"
"Climate Identifier","6158665"
"WMO Identifier","71265"
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"â ","Data for this day has undergone only basic quality checking"
"â¡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (Â°C)","Max Temp Flag","Min Temp (Â°C)","Min Temp Flag","Mean Temp (Â°C)","Mean Temp Flag","Heat Deg Days (Â°C)","Heat Deg Days Flag","Cool Deg Days (Â°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1994-01-01","1994","01","01","","3.7","","0.5","","2.1","","15.9","","0.0","","0.4","","0.2","","0.6","","0","T","24","","52",""
"1994-01-02","1994","01","02","","2.5","","-13.0","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","0","","31","","41",""
"1994-01-03","1994","01","03","","-8.6","","-13.3","","-11.0","","29.0","","0.0","","0.0","","8.2","","2.0","","2","","6","","43",""
"1994-01-04","1994","01","04","","-5.6","","-10.4","","-8.0","","26.0","","0.0","","0.0","","0.0","T","0.0","T","7","","36","","43",""
"1994-01-05","1994","01","05","","-5.4","","-15.3","","-10.4","","28.4","","0.0","","0.0","","0.6","","0.4","","5","","30","","50",""
"1994-01-06","1994","01","06","","-9.9","","-16.5","","-13.2","","31.2","","0.0","","0.0","","18.4","","9.4","","3","","7","","56",""
"1994-01-07","1994","01","07","","-12.2","","-15.2","","-13.7","","31.7","","0.0","","0.0","","12.2","","4.6","","14","","4","","39",""
"1994-01-08","1994","01","08","","-7.4","","-13.8","","-10.6","","28.6","","0.0","","0.0","","2.4","","1.6","","12","","26","","39",""
"1994-01-09","1994","01","09","","-9.0","","-16.3","","-12.7","","30.7","","0.0","","0.0","","0.0","","0.0","","12","","","","<31",""
"1994-01-10","1994","01","10","","-3.3","","-19.1","","-11.2","","29.2","","0.0","","0.0","","1.0","","0.2","","12","","","","<31",""
"1994-01-11","1994","01","11","","2.3","","-5.2","","-1.5","","19.5","","0.0","","0.0","T","0.8","","0.4","","12","","28","","41",""
"1994-01-12","1994","01","12","","0.7","","-9.5","","-4.4","","22.4","","0.0","","0.0","","0.0","T","0.0","T","10","","24","","35",""
"1994-01-13","1994","01","13","","0.9","","-5.4","","-2.3","","20.3","","0.0","","0.0","","0.6","","0.4","","10","","","","<31",""
"1994-01-14","1994","01","14","","-5.4","","-17.9","","-11.7","","29.7","","0.0","","0.0","","0.6","","0.4","","11","","33","","37",""
"1994-01-15","1994","01","15","","-17.9","","-25.8","","-21.9","","39.9","","0.0","","0.0","","0.0","","0.0","","11","","36","","41",""
