"Station Name","TORONTO CITY"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158355"
"WMO Identifier","71508"
"TC Identifier","XTO"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"â ","Data for this day has undergone only basic quality checking"
"â¡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (Â°C)","Max Temp Flag","Min Temp (Â°C)","Min Temp Flag","Mean Temp (Â°C)","Mean Temp Flag","Heat Deg Days (Â°C)","Heat Deg Days Flag","Cool Deg Days (Â°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2009-01-01","2009","01","01","â ","-2.3","","-13.0","","-7.7","","25.7","","0.0","","","M","","M","0.0","","4","","","M","","M"
"2009-01-02","2009","01","02","â ","1.9","","-3.3","","-0.7","","18.7","","0.0","","0.0","","","M","1.7","","5","","","M","","M"
"2009-01-03","2009","01","03","â ","-1.4","","-8.8","","-5.1","","23.1","","0.0","","","M","","M","0.0","","7","","","M","","M"
"2009-01-04","2009","01","04","â ","-0.1","","-9.6","","-4.9","","22.9","","0.0","","","M","","M","0.0","","6","","","M","","M"
"2009-01-05","2009","01","05","â ","1.6","","-5.7","","-2.1","","20.1","","0.0","","","M","","M","0.0","","5","","","M","","M"
"2009-01-06","2009","01","06","â ","0.1","","-6.8","","-3.4","","21.4","","0.0","","0.0","","","M","3.8","","6","","","M","","M"
"2009-01-07","2009","01","07","â ","1.6","","-1.8","","-0.1","","18.1","","0.0","","0.0","","","M","12.6","","10","","","M","","M"
"2009-01-08","2009","01","08","â ","-1.7","","-7.5","","-4.6","","22.6","","0.0","","","M","","M","0.6","","13","","","M","","M"
"2009-01-09","2009","01","09","â ","-4.9","","-10.4","","-7.7","","25.7","","0.0","","","M","","M","0.0","","12","","","M","","M"
"2009-01-10","2009","01","10","â ","-6.4","","-10.6","","-8.5","","26.5","","0.0","","0.0","","","M","6.4","","12","","","M","","M"
