"Station Name","TORONTO ISLAND A"
"Province","ONTARIO"
"Latitude","43.63"
"Longitude","-79.40"
"Elevation","76.50"
"Climate Identifier","6158665"
"WMO Identifier","71265"
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"â ","Data for this day has undergone only basic quality checking"
"â¡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (Â°C)","Max Temp Flag","Min Temp (Â°C)","Min Temp Flag","Mean Temp (Â°C)","Mean Temp Flag","Heat Deg Days (Â°C)","Heat Deg Days Flag","Cool Deg Days (Â°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1992-01-01","1992","01","01","","0.5","","-2.3","","-0.9","","18.9","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
"1992-01-02","1992","01","02","","3.1","","-0.4","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","0","","7","","32",""
"1992-01-03","1992","01","03","","5.2","","1.5","","3.4","","14.6","","0.0","","0.0","T","0.0","","0.0","T","0","","7","","41",""
"1992-01-04","1992","01","04","","6.0","","3.7","","4.9","","13.1","","0.0","","0.0","T","0.0","","0.0","T","0","","7","","37",""
"1992-01-05","1992","01","05","","5.3","","1.3","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","36","","33",""
"1992-01-06","1992","01","06","","2.8","","0.6","","1.7","","16.3","","0.0","","0.0","T","0.0","T","0.0","T","0","","29","","43",""
"1992-01-07","1992","01","07","","3.8","","-5.0","","-0.6","","18.6","","0.0","","0.0","T","0.0","T","0.0","T","0","","29","","43",""
"1992-01-08","1992","01","08","","1.0","","-6.8","","-2.9","","20.9","","0.0","","0.2","","0.0","T","0.2","","0","","9","","41",""
"1992-01-09","1992","01","09","","5.3","","1.0","","3.2","","14.8","","0.0","","1.4","","0.0","","1.4","","0","","27","","44",""
"1992-01-10","1992","01","10","","2.0","","-1.8","","0.1","","17.9","","0.0","","0.0","","0.0","T","0.0","T","0","","32","","35",""
"1992-01-11","1992","01","11","","0.3","","-3.8","","-1.8","","19.8","","0.0","","0.0","","0.6","","0.6","","0","T","","","<31",""
"1992-01-12","1992","01","12","","5.2","","-1.8","","1.7","","16.3","","0.0","","1.4","","0.0","","1.4","","0","T","24","","57",""
"1992-01-13","1992","01","13","","4.2","","2.6","","3.4","","14.6","","0.0","","0.6","","0.0","","0.6","","0","","","","<31",""
"1992-01-14","1992","01","14","","4.4","","-11.4","","-3.5","","21.5","","0.0","","18.0","","5.0","","23.0","","0","","31","","91",""
"1992-01-15","1992","01","15","","-11.4","","-16.0","","-13.7","","31.7","","0.0","","0.0","","0.2","","0.2","","2","","29","","37",""
"1992-01-16","1992","01","16","","-8.0","","-20.6","","-14.3","","32.3","","0.0","","0.0","","0.2","","0.2","","2","","26","","52",""
"1992-01-17","1992","01","17","","-2.1","","-8.2","","-5.2","","23.2","","0.0","","0.0","","1.8","","1.6","","3","","28","","61",""
"1992-01-18","1992","01","18","","-8.2","","-13.8","","-11.0","","29.0","","0.0","","0.0","","0.6","","0.6","","4","","28","","61",""
"1992-01-19","1992","01","19","","-9.3","","-14.2","","-11.8","","29.8","","0.0","","0.0","","1.2","","1.2","","3","","26","","50",""
"1992-01-20","1992","01","20","","-5.3","","-9.6","","-7.5","","25.5","","0.0","","0.0","","0.4","","0.4","","3","","24","","43",""
"1992-01-21","1992","01","21","","-0.2","","-5.6","","-2.9","","20.9","","0.0","","0.0","","0.2","","0.2","","3","","25","","41",""
"1992-01-22","1992","01","22","","1.9","","-8.7","","-3.4","","21.4","","0.0","","0.0","","0.0","","0.0","","3","","9","","54",""
"1992-01-23","1992","01","23","","4.2","","1.4","","2.8","","15.2","","0.0","","6.4","","0.0","","6.4","","3","","25","","69",""
"1992-01-24","1992","01","24","","2.2","","-10.9","","-4.4","","22.4","","0.0","","0.0","","0.0","T","0.0","T","0","T","25","","69",""
"1992-01-25","1992","01","25","","-10.9","","-18.0","","-14.5","","32.5","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"1992-01-26","1992","01","26","","-4.8","","-11.3","","-8.1","","26.1","","0.0","","0.0","","0.2","","0.2","","0","T","","","<31",""
"1992-01-27","1992","01","27","","0.1","","-6.6","","-3.3","","21.3","","0.0","","0.0","","0.2","","0.2","","0","T","","","<31",""
"1992-01-28","1992","01","28","","0.0","","-3.6","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","0","T","25","","32",""
"1992-01-29","1992","01","29","","2.1","","-0.5","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","0","","25","","39",""
"1992-01-30","1992","01","30","","2.1","","-0.5","","0.8","","17.2","","0.0","","0.0","T","0.0","","0.0","T","0","","24","","46",""
"1992-01-31","1992","01","31","","2.6","","-6.1","","-1.8","","19.8","","0.0","","0.0","","0.0","T","0.0","T","0","","32","","44",""
"1992-02-01","1992","02","01","","-6.1","","-12.0","","-9.1","","27.1","","0.0","","0.0","","0.0","T","0.0","T","0","T","33","","39",""
"1992-02-02","1992","02","02","","-0.5","","-10.4","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"1992-02-03","1992","02","03","","1.1","","-2.1","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"1992-02-04","1992","02","04","","1.9","","-5.6","","-1.9","","19.9","","0.0","","0.0","T","0.4","","0.4","","0","","30","","63",""
"1992-02-05","1992","02","05","","-1.8","","-7.5","","-4.7","","22.7","","0.0","","0.0","","0.0","","0.0","","0","T","32","","41",""
"1992-02-06","1992","02","06","","1.2","","-6.7","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","0","","10","","33",""
"1992-02-07","1992","02","07","","0.9","","-5.3","","-2.2","","20.2","","0.0","","0.0","","0.4","","0.4","","0","","35","","33",""
"1992-02-08","1992","02","08","","-4.1","","-10.6","","-7.4","","25.4","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"1992-02-09","1992","02","09","","-9.4","","-17.4","","-13.4","","31.4","","0.0","","0.0","","0.0","","0.0","","0","","28","","46",""
"1992-02-10","1992","02","10","","1.6","","-10.4","","-4.4","","22.4","","0.0","","0.0","","0.0","T","0.0","T","0","","22","","44",""
"1992-02-11","1992","02","11","","2.1","","-15.8","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"1992-02-12","1992","02","12","","-6.1","","-17.2","","-11.7","","29.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"1992-02-13","1992","02","13","","-1.6","","-7.2","","-4.4","","22.4","","0.0","","0.0","","0.6","","0.6","","0","","","","<31",""
"1992-02-14","1992","02","14","","1.8","","-1.6","","0.1","","17.9","","0.0","","0.0","","0.0","T","0.0","T","1","","","","<31",""
"1992-02-15","1992","02","15","","2.9","","0.2","","1.6","","16.4","","0.0","","16.6","","2.0","","18.6","","0","","8","","48",""
"1992-02-16","1992","02","16","","2.0","","-1.5","","0.3","","17.7","","0.0","","0.8","","5.0","","5.8","","2","","31","","35",""
"1992-02-17","1992","02","17","","2.2","","-1.3","","0.5","","17.5","","0.0","","0.0","T","0.0","","0.0","T","2","","","","<31",""
"1992-02-18","1992","02","18","","3.5","","0.7","","2.1","","15.9","","0.0","","2.4","","0.2","","2.6","","0","T","","","<31",""
"1992-02-19","1992","02","19","","4.9","","0.5","","2.7","","15.3","","0.0","","7.6","","0.0","T","7.6","","0","","32","","41",""
"1992-02-20","1992","02","20","","2.5","","1.0","","1.8","","16.2","","0.0","","0.4","","0.0","T","0.4","","0","","21","","48",""
"1992-02-21","1992","02","21","","3.4","","-4.7","","-0.7","","18.7","","0.0","","1.2","","0.0","","1.2","","0","","28","","57",""
"1992-02-22","1992","02","22","","3.3","","-2.4","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"1992-02-23","1992","02","23","","2.9","","-1.7","","0.6","","17.4","","0.0","","0.0","","0.4","","0.4","","0","","7","","35",""
"1992-02-24","1992","02","24","","-0.1","","-3.5","","-1.8","","19.8","","0.0","","0.0","T","0.0","T","0.0","T","0","","8","","39",""
"1992-02-25","1992","02","25","","2.8","","-1.9","","0.5","","17.5","","0.0","","2.0","","0.0","","2.0","","0","","9","","39",""
"1992-02-26","1992","02","26","","1.4","","-1.6","","-0.1","","18.1","","0.0","","0.0","","0.0","T","0.0","T","0","","27","","32",""
"1992-02-27","1992","02","27","","3.6","","-1.9","","0.9","","17.1","","0.0","","0.0","","0.2","","0.0","T","0","","28","","70",""
"1992-02-28","1992","02","28","","3.1","","-9.5","","-3.2","","21.2","","0.0","","1.0","","0.2","","1.0","","0","","23","","59",""
"1992-02-29","1992","02","29","","-3.2","","-15.7","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","0","","29","","50",""
"1992-03-01","1992","03","01","","5.7","","-3.2","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","0","","24","","48",""
"1992-03-02","1992","03","02","","-0.4","","-5.4","","-2.9","","20.9","","0.0","","0.0","","0.0","T","0.0","T","0","","8","","52",""
"1992-03-03","1992","03","03","","0.4","","-4.4","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"1992-03-04","1992","03","04","","3.2","","-4.4","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
